,team1,team2,Temp,Wind_speed,team1_home_A,Game_id,astroturf,fieldturf,grass,matrixturf,sportturf
187,NE,LAC,72,0,0,ACELN1,0,0,0,1,0
188,NYG,SEA,51,4,0,AEGNSY1,0,1,0,0,0
189,WSH,PIT,34,10,0,HIPSTW1,0,0,1,0,0
190,SF,BUF,72,0,1,BFFSU1,0,0,1,0,0
191,DAL,BAL,38,9,0,AABDLL1,0,0,1,0,0
192,NE,LAR,72,0,0,AELNR1,0,0,0,1,0
193,PIT,BUF,35,11,0,BFIPTU1,1,0,0,0,0
194,DEN,CAR,70,7,0,ACDENR1,0,0,1,0,0
195,HOU,CHI,34,1,0,CHHIOU1,0,0,1,0,0
196,CIN,DAL,44,5,1,ACDILN1,0,0,1,0,0
197,DET,GB,72,0,1,BDEGT2,0,1,0,0,0
198,TEN,JAX,69,2,0,AEJNTX2,0,0,1,0,0
199,KC,MIA,81,8,0,ACIKM1,0,0,1,0,0
200,ARI,NYG,59,15,0,AGINRY1,0,1,0,0,0
201,NO,PHI,57,10,0,HINOP1,0,0,1,0,0
202,IND,OAK,72,0,0,ADIKNO1,0,0,1,0,0
203,LAC,ATL,72,0,1,AACLLT1,0,0,0,1,0
204,NYJ,SEA,43,8,0,AEJNSY1,0,1,0,0,0
205,WSH,SF,72,0,0,FHSSW1,0,0,1,0,0
206,MIN,TB,78,5,0,BIMNT1,0,0,1,0,0
207,BAL,CLE,34,18,0,ABCELL2,0,0,1,0,0
208,LAC,OAK,72,0,0,AACKLO2,0,0,1,0,0
209,DEN,BUF,47,24,1,BDEFNU1,0,0,1,0,0
210,CAR,GB,33,5,0,ABCGR1,0,0,1,0,0
211,ATL,TB,72,0,1,ABLTT1,0,1,0,0,0
212,HOU,IND,72,0,0,DHINOU2,0,1,0,0,0
213,PHI,ARI,72,0,0,AHIIPR1,0,0,1,0,0
214,SF,DAL,72,0,0,ADFLS1,0,1,0,0,0
215,NE,MIA,79,9,0,AEIMN2,0,0,1,0,0
216,CHI,MIN,72,0,0,CHIIMN2,0,0,0,0,1
217,KC,NO,72,0,0,CKNO1,1,0,0,0,0
218,CLE,NYG,36,0,0,CEGLNY1,0,1,0,0,0
219,TEN,DET,46,5,1,DEENTT1,0,0,1,0,0
220,NYJ,LAR,72,0,0,AJLNRY1,0,0,0,1,0
221,BAL,JAX,39,3,1,AABJLX1,0,0,1,0,0
222,SEA,WSH,43,8,0,AEHSSW1,0,0,1,0,0
223,PIT,CIN,43,10,0,CIINPT2,0,0,1,0,0
224,MIN,NO,72,0,0,IMNNO1,1,0,0,0,0
225,SF,ARI,72,0,0,AFIRS2,0,0,1,0,0
