,team1,team2,Temp,Wind_speed,team1_home_A,astroturf,fieldturf,grass,matrixturf,sportturf,Game_id
207,ARI,LAR,72,0,1,0,0,1,0,0,AAILRR2
208,KC,LAC,72,0,0,0,0,0,1,0,ACCKL2
209,NE,IND,72,0,0,0,1,0,0,0,DEINN1
210,CAR,BUF,30,8,0,1,0,0,0,0,ABCFRU1
211,DEN,CIN,61,19,1,0,0,1,0,0,CDEINN1
212,ARI,DET,72,0,0,0,1,0,0,0,ADEIRT1
213,HOU,JAX,80,12,0,0,0,1,0,0,AHJOUX2
214,NYJ,MIA,82,9,0,0,0,1,0,0,AIJMNY2
215,DAL,NYG,37,8,0,0,1,0,0,0,ADGLNY2
216,TEN,PIT,32,11,0,0,0,1,0,0,EINPTT1
217,GB,BAL,43,11,0,0,0,1,0,0,ABBGL1
218,ATL,SF,46,0,0,0,0,1,0,0,AFLST1
219,NO,TB,75,0,0,0,0,1,0,0,BNOT2
220,CHI,MIN,37,8,1,0,0,1,0,0,CHIIMN1
221,OAK,CLE,40,8,0,0,0,1,0,0,ACEKLO1
222,WSH,PHI,42,7,0,0,0,1,0,0,HHIPSW1
223,LAR,SEA,72,0,1,0,0,0,1,0,AAELRS2
224,SF,TEN,48,7,0,0,0,1,0,0,EFNST1
225,ARI,IND,72,0,1,0,0,1,0,0,ADIINR1
226,CLE,GB,35,11,0,0,0,1,0,0,BCEGL1
227,DET,ATL,72,0,0,0,1,0,0,0,ADELTT1
228,TB,CAR,73,8,0,0,0,1,0,0,ABCRT1
229,CIN,BAL,52,0,1,0,1,0,0,0,ABCILN2
230,WSH,DAL,72,0,0,0,0,0,1,0,ADHLSW2
231,LAC,HOU,72,0,0,1,0,0,0,0,ACHLOU1
232,PIT,KC,60,22,0,0,0,1,0,0,CIKPT1
233,MIN,LAR,72,0,1,0,0,0,0,1,AILMNR1
234,BUF,NE,38,13,0,0,1,0,0,0,BEFNU2
235,JAX,NYJ,47,0,0,0,1,0,0,0,AJJNXY1
236,PHI,NYG,53,9,1,0,0,1,0,0,GHINPY2
237,DEN,OAK,72,0,0,0,0,1,0,0,ADEKNO2
238,CHI,SEA,25,11,0,0,1,0,0,0,ACEHIS1
239,NO,MIA,72,0,1,0,0,0,0,1,AIMNO1
240,ATL,BUF,26,11,0,1,0,0,0,0,ABFLTU1
241,CHI,NYG,25,13,1,0,0,1,0,0,CGHINY1
242,CIN,KC,33,13,1,0,1,0,0,0,CCIKN1
243,OAK,IND,72,0,0,0,1,0,0,0,ADIKNO1
244,ARI,DAL,72,0,0,0,0,0,1,0,AADILR1
245,GB,MIN,11,9,1,0,0,1,0,0,BGIMN2
246,CAR,NO,72,0,0,0,0,0,0,1,ACNOR2
247,JAX,NE,46,4,0,0,1,0,0,0,AEJNX1
248,TB,NYJ,57,9,0,0,1,0,0,0,BJNTY1
249,MIA,TEN,43,13,0,0,0,1,0,0,AEIMNT1
250,BAL,LAR,59,6,1,0,0,1,0,0,AABLLR1
